Target_gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	Representative miRNA	Cumulative weighted context score	Total context score	Aggregate PCT	Previous TargetScan publication(s)
HIP-R	FBtr0070598	Hsc/Hsp70-interacting protein related	743	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.23	-1.23	0.68	
Awh	FBtr0073155	Arrowhead	167	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.21	-1.30	0.73	2008, 2011
CG32192	FBtr0075147	-	2023	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.21	-1.24	< 0.1	
SkpE	FBtr0074806	SKP1-related E	6	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.20	-1.20	< 0.1	
Bsg	FBtr0079568	Basigin	41205	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.18	-1.40	0.73	2008, 2011
CG14182	FBtr0346534	-	788	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.17	-1.17	< 0.1	
Tollo	FBtr0075607	Tollo	924	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.15	-1.42	0.72	
CG42741	FBtr0303203	-	19	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.14	-1.14	0.73	2011
HIP	FBtr0070600	Hsc/Hsp70-interacting protein	250	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.13	-1.13	0.68	
Cdk7	FBtr0070756	Cyclin-dependent kinase 7	509	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.13	-1.13	< 0.1	
beat-Vc	FBtr0082658	beat-Vc	85	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.11	-1.11	0.73	2011
CG13950	FBtr0078018	-	99	1	0	1	0	0	0	0	0	dme-miR-999-3p	-1.11	-1.11	0.33	2011
SuUR	FBtr0076203	Suppressor of Under-Replication	1544	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.08	-1.13	0.73	
CG14676	FBtr0078645	-	955	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.07	-1.07	< 0.1	
CG12692	FBtr0345705	-	199	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.06	-1.08	< 0.1	
CG31609	FBtr0299873	-	300	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.06	-1.06	< 0.1	
CG4332	FBtr0073726	-	2417	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.04	-1.11	0.61	
CG13606	FBtr0084553	-	730	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.04	-1.04	< 0.1	
vret	FBtr0084323	vreteno	394	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.04	-1.07	< 0.1	
rdgC	FBtr0342946	retinal degeneration C	1232	0	0	0	0	3	0	1	2	dme-miR-999-3p	-1.02	-1.50	< 0.1	
CG13978	FBtr0085182	-	1898	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.02	-1.02	< 0.1	
PMP34	FBtr0073287	Peroxisomal Membrane Protein 34	3868	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.02	-1.32	< 0.1	
Srp54k	FBtr0077169	Signal recognition particle protein 54k	7947	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.00	-1.00	0.73	2008, 2011
Pcyt1	FBtr0345365	Phosphocholine cytidylyltransferase 1	10580	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.00	-1.00	0.69	
inc	FBtr0070260	insomniac	2045	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.98	-0.99	0.73	
CG15046	FBtr0074628	-	173	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.97	-0.97	< 0.1	
CG31268	FBtr0307190	-	18	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.97	-1.06	N/A	
CG3862	FBtr0078038	-	259	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.96	-0.96	< 0.1	
CG45101	FBtr0344636	-	1678	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.95	-1.13	0.19	
Bem46	FBtr0077643	Bem46	2576	1	0	0	1	1	0	0	1	dme-miR-999-3p	-0.95	-1.02	0.74	2008, 2011
CG30479	FBtr0087479	-	174	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.94	-0.98	< 0.1	
Cbp80	FBtr0070684	cap binding protein 80	2597	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.94	-0.95	0.62	
Mtk	FBtr0087386	Metchnikowin	7315	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.93	-0.94	0.60	2008, 2011
CG13239	FBtr0078548	-	193	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.93	-1.06	< 0.1	
CG7220	FBtr0088219	-	10873	1	0	0	1	1	0	1	0	dme-miR-999-3p	-0.93	-1.66	0.78	2008, 2011
IKKepsilon	FBtr0081390	I-kappaB kinase epsilon	941	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.93	-0.95	< 0.1	
Mdr50	FBtr0087537	Multi drug resistance 50	413	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.93	-0.95	< 0.1	
CG9304	FBtr0345537	-	2874	0	0	0	0	4	2	2	0	dme-miR-999-3p	-0.92	-1.00	0.12	
AGO1	FBtr0305592	Argonaute-1	14165	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.92	-1.09	0.73	
CG5287	FBtr0080436	-	338	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.92	-0.95	< 0.1	
Ir56b	FBtr0086465	Ionotropic receptor 56b	6	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.92	-0.92	< 0.1	
Drep1	FBtr0087978	DNA fragmentation factor-related protein 1	1091	2	0	1	1	0	0	0	0	dme-miR-999-3p	-0.92	-0.92	0.84	2008, 2011
ArgRS-m	FBtr0333826	"Arginyl-tRNA synthetase, mitochondrial"	171	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.92	-0.94	< 0.1	
Catsup	FBtr0081143	Catecholamines up	6805	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.92	-0.92	< 0.1	
Nmdar2	FBtr0339592	NMDA receptor 2	115	3	1	0	2	0	0	0	0	dme-miR-999-3p	-0.91	-1.42	0.95	
COX7AL	FBtr0081839	Cytochrome c oxidase subunit 7A-like	4328	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.91	-0.92	< 0.1	
His4r	FBtr0334029	Histone H4 replacement	53535	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.88	-0.88	< 0.1	
CG14931	FBtr0300370	-	1523	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.88	-0.90	< 0.1	
CG15657	FBtr0071635	-	2528	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.88	-0.88	< 0.1	
CG13994	FBtr0079188	-	2855	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.87	-0.97	0.19	
CG13144	FBtr0080037	-	60	0	0	0	0	2	0	2	0	dme-miR-999-3p	-0.87	-0.87	0.19	
NaCP60E	FBtr0333816	Na channel protein 60E	740	2	0	0	2	1	0	0	1	dme-miR-999-3p	-0.86	-1.50	0.89	2008, 2011
CG6231	FBtr0083807	-	2687	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.85	-0.85	0.73	2008, 2011
CG13737	FBtr0075754	-	610	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.84	-0.84	< 0.1	
ltl	FBtr0076793	larval translucida	3766	2	0	1	1	0	0	0	0	dme-miR-999-3p	-0.84	-1.01	0.83	2008, 2011
Rcd-1r	FBtr0079779	Rcd-1 related	62	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.84	-0.84	< 0.1	
coro	FBtr0086207	coro	8871	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.84	-0.87	< 0.1	
CG5181	FBtr0079467	-	676	0	0	0	0	2	0	2	0	dme-miR-999-3p	-0.84	-1.44	< 0.1	
scrt	FBtr0333136	scratch	2662	1	0	0	1	1	0	0	1	dme-miR-999-3p	-0.83	-1.20	0.61	
nAChRbeta2	FBtr0084682	nicotinic Acetylcholine Receptor beta2	108	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.82	-1.12	0.72	
CG15283	FBtr0300837	-	28	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.81	-0.81	0.54	
CG13457	FBtr0075653	-	576	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.81	-0.95	< 0.1	
CG4753	FBtr0075421	-	2558	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.81	-0.81	< 0.1	
CG42525	FBtr0300854	-	18	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.80	-0.92	< 0.1	
Gdap1	FBtr0077167	Gdap1	637	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.80	-0.80	0.51	2008, 2011
Swim	FBtr0071784	Secreted Wg-interacting molecule	11042	1	0	1	0	1	0	1	0	dme-miR-999-3p	-0.80	-0.82	0.44	2008, 2011
Mat1	FBtr0088255	Menage a trois 1	1506	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.80	-0.87	< 0.1	
CG1407	FBtr0300719	-	3021	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.80	-0.85	< 0.1	
CG9737	FBtr0085639	-	7	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.78	-0.78	< 0.1	
Hph	FBtr0344333	HIF prolyl hydroxylase	3006	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.78	-0.84	0.24	
AdenoK	FBtr0346531	Adenosine Kinase	5675	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.77	-0.78	0.71	2008, 2011
crol	FBtr0080260	crooked legs	7061	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.77	-0.93	0.73	2008, 2011
TwdlD	FBtr0085035	TweedleD	368	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.77	-0.77	< 0.1	
Ac3	FBtr0085897	Ac3	527	0	0	0	0	2	1	1	0	dme-miR-999-3p	-0.77	-0.79	0.18	
fs(1)K10	FBtr0070396	female sterile (1) K10	829	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.76	-0.86	0.53	
CG6767	FBtr0076415	-	27406	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.76	-0.94	< 0.1	
CG11825	FBtr0088316	-	97	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.76	-0.94	< 0.1	
Lk6	FBtr0082534	Lk6 kinase	26356	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.76	-0.79	0.60	
CG8407	FBtr0087985	-	218	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.76	-0.82	< 0.1	
Zasp67	FBtr0310627	Z band alternatively spliced PDZ-motif protein 67	142	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.76	-0.76	< 0.1	
app	FBtr0304661	approximated	1136	2	0	0	2	0	0	0	0	dme-miR-999-3p	-0.75	-0.81	0.78	2008, 2011
Saf-B	FBtr0392911	Scaffold attachment factor B	5556	1	0	1	0	2	0	1	1	dme-miR-999-3p	-0.75	-0.75	0.26	
Hug	FBtr0082639	Hugin	49	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.75	-0.75	< 0.1	
CG31633	FBtr0079325	-	659	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.75	-0.75	< 0.1	
CG31689	FBtr0077706	-	4604	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.74	-0.82	0.18	
Wnt2	FBtr0088512	Wnt oncogene analog 2	242	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.74	-1.31	< 0.1	
CG3594	FBtr0072374	-	775	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.74	-1.93	< 0.1	
CG14572	FBtr0078434	-	78	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.73	-0.73	0.25	
CG5056	FBtr0080003	-	1966	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.73	-0.76	< 0.1	
CG42497	FBtr0300626	-	5844	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.73	-0.73	N/A	
Ent1	FBtr0078094	Equilibrative nucleoside transporter 1	735	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.72	-0.72	< 0.1	
CG43445	FBtr0309175	-	65	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.72	-0.72	< 0.1	
LRP1	FBtr0344893	LDL receptor protein 1	2621	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.72	-0.73	0.72	
CG11760	FBtr0081907	-	3712	2	0	0	2	0	0	0	0	dme-miR-999-3p	-0.72	-1.10	0.81	2008, 2011
Lkb1	FBtr0301488	Lkb1 kinase	845	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.72	-0.76	0.76	2008, 2011
CG12730	FBtr0070780	-	3704	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.71	-0.72	0.73	
EndoB	FBtr0086558	Endophilin B	2210	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.71	-0.89	0.67	
Argk	FBtr0345030	Arginine kinase	62712	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.71	-0.71	< 0.1	
asp	FBtr0084692	abnormal spindle	1340	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.71	-0.75	< 0.1	
sim	FBtr0082710	single-minded	333	1	0	0	1	1	0	1	0	dme-miR-999-3p	-0.71	-0.72	0.66	2008, 2011
par-6	FBtr0074455	par-6	3238	2	2	0	0	0	0	0	0	dme-miR-999-3p	-0.70	-1.44	0.91	2011
CG34396	FBtr0112644	-	388	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.70	-0.70	< 0.1	
Rim2	FBtr0305618	Replication in mitochondria 2	3139	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.69	-0.69	0.27	
Bdp1	FBtr0080471	B double prime 1	202	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.69	-0.69	< 0.1	
CG8944	FBtr0074201	-	678	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.69	-1.08	0.73	2011
CG8326	FBtr0074486	-	637	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.69	-0.69	< 0.1	
CG9686	FBtr0071389	-	1363	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.68	-0.68	< 0.1	
l(2)tid	FBtr0089503	lethal (2) tumorous imaginal discs	3399	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.68	-0.69	< 0.1	
MICU1	FBtr0113028	Mitochondrial calcium uptake 1	2886	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.68	-0.68	< 0.1	
Tdrd3	FBtr0075691	Tudor domain containing 3	1957	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.68	-0.68	< 0.1	
betaggt-I	FBtr0078991	beta subunit of type I geranylgeranyl transferase	1274	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.68	-0.69	0.74	2008, 2011
CG44001	FBtr0334124	-	7598	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.68	-0.68	< 0.1	
ear	FBtr0334695	ENL/AF9-related	1672	0	0	0	0	3	0	3	0	dme-miR-999-3p	-0.68	-1.17	0.25	
Evi5	FBtr0332620	Ecotropic viral integration site 5	4089	2	2	0	0	0	0	0	0	dme-miR-999-3p	-0.68	-2.91	0.72	
CG5196	FBtr0082584	-	3807	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.68	-0.68	0.40	
CG1636	FBtr0339833	-	831	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.68	-0.85	< 0.1	
CG12659	FBtr0332627	-	566	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.67	-0.67	< 0.1	
Ndg	FBtr0339459	Nidogen/entactin	618	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.67	-0.67	0.16	
dgo	FBtr0088249	diego	135	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.67	-0.69	< 0.1	
CG5432	FBtr0085006	-	848	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.67	-0.71	0.73	
CG30345	FBtr0305317	-	5	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.67	-0.67	< 0.1	
Vha68-2	FBtr0080418	Vacuolar H[+] ATPase 68 kDa subunit 2	26868	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.67	-0.67	0.36	2008, 2011
CG7326	FBtr0333159	-	1637	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.66	-0.68	< 0.1	
CG3795	FBtr0344154	-	334	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.66	-0.66	< 0.1	
stv	FBtr0075806	starvin	5565	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.65	-0.74	0.70	
2mit	FBtr0301436	2mit	160	1	0	1	0	2	2	0	0	dme-miR-999-3p	-0.65	-0.70	0.39	2011
Vdup1	FBtr0301890	Vitamin D[[3]] up-regulated protein 1	898	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.65	-1.07	< 0.1	
px	FBtr0071838	plexus	1652	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.65	-0.65	0.72	2008
Cpr	FBtr0079250	Cytochrome P450 reductase	6396	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.64	-0.65	< 0.1	
msl-1	FBtr0081130	male-specific lethal 1	1965	1	1	0	0	1	0	1	0	dme-miR-999-3p	-0.64	-0.85	0.63	
Gyc89Db	FBtr0083294	Guanylyl cyclase at 89Db	52	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.64	-0.64	< 0.1	
fab1	FBtr0089554	fab1 kinase	1328	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.64	-0.64	0.32	
tun	FBtr0308814	tungus	2871	2	0	1	1	0	0	0	0	dme-miR-999-3p	-0.64	-1.05	0.65	
CG12818	FBtr0082230	-	830	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.64	-0.64	< 0.1	
CG4069	FBtr0075965	-	1314	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.64	-0.64	< 0.1	
CG3655	FBtr0113327	-	832	0	0	0	0	2	2	0	0	dme-miR-999-3p	-0.64	-0.65	< 0.1	
DUBAI	FBtr0087950	Deubiquitinating apoptotic inhibitor	2852	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.63	-0.68	0.69	2008, 2011
CG16771	FBtr0081204	-	842	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.63	-0.64	< 0.1	
CG10147	FBtr0333060	-	121	0	0	0	0	2	0	0	2	dme-miR-999-3p	-0.63	-0.69	< 0.1	
CG1172	FBtr0333810	-	3445	1	1	0	0	1	0	1	0	dme-miR-999-3p	-0.63	-1.17	0.76	2008, 2011
form3	FBtr0091533	formin 3	2200	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.63	-0.63	0.25	2008, 2011
jet	FBtr0079057	jetlag	489	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.63	-0.64	0.32	
dmpd	FBtr0088423	dampened	4732	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.63	-0.64	0.13	
up	FBtr0308234	upheld	52274	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.63	-0.90	< 0.1	
bug	FBtr0087290	bunker gear	4362	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.63	-0.65	< 0.1	
Lgr1	FBtr0083509	Leucine-rich repeat-containing G protein-coupled receptor 1	214	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.63	-0.63	< 0.1	
Sk2	FBtr0072984	Sphingosine kinase 2	1745	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.63	-0.63	0.62	2008, 2011
RhoGAP19D	FBtr0301537	Rho GTPase activating protein at 19D	3154	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.62	-1.07	< 0.1	
Ggamma1	FBtr0088645	G protein gamma 1	26430	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.62	-0.62	0.32	
vig2	FBtr0084776	vig2	14921	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.62	-0.62	< 0.1	
CG2209	FBtr0073717	-	126	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.62	-0.66	< 0.1	
CG12288	FBtr0080957	-	1890	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.62	-0.62	< 0.1	
CG42264	FBtr0299596	-	5	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.62	-0.62	< 0.1	
CG3625	FBtr0078136	-	7356	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.62	-0.64	< 0.1	
CG15892	FBtr0070926	-	1249	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.62	-0.62	< 0.1	
CG17159	FBtr0302542	-	2588	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.62	-0.71	N/A	
CG2201	FBtr0305503	-	5796	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.61	-0.61	< 0.1	
bru3	FBtr0330351	bruno 3	4808	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.61	-0.71	0.63	
CG18302	FBtr0080095	-	134	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.61	-0.62	< 0.1	
CG17083	FBtr0084383	-	1722	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.61	-0.70	< 0.1	
CG3812	FBtr0073689	-	1145	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.60	-0.62	< 0.1	
Trx-2	FBtr0079839	thioredoxin-2	23523	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.60	-0.61	< 0.1	
CngA	FBtr0302924	Cyclic nucleotide-gated ion channel subunit A	38	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.60	-0.60	0.72	
CG46320	FBtr0452138	-	6353	1	0	0	1	1	0	0	1	dme-miR-999-3p	-0.60	-0.60	0.63	
e	FBtr0084106	ebony	1602	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.60	-0.60	< 0.1	
CG10710	FBtr0075817	-	45	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.60	-0.60	0.50	2008, 2011
mRpL38	FBtr0073902	mitochondrial ribosomal protein L38	1742	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.59	-0.60	0.14	
Usp39	FBtr0074643	Ubiquitin specific protease 39	772	0	0	0	0	1	0	0	1	dme-miR-999-3p	-0.59	-0.59	< 0.1	
pds5	FBtr0087974	precocious dissociation of sisters 5	3376	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.59	-0.59	0.43	2008, 2011
CG43778	FBtr0331503	-	669	1	0	0	1	1	0	1	0	dme-miR-999-3p	-0.58	-0.60	0.48	2011
msps	FBtr0301479	mini spindles	2808	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.58	-0.62	0.67	2008, 2011
Nmdar1	FBtr0078763	NMDA receptor 1	119	1	1	0	0	0	0	0	0	dme-miR-999-3p	-0.58	-0.61	0.73	2008, 2011
CG45002	FBtr0344096	-	296	1	0	1	0	0	0	0	0	dme-miR-999-3p	-0.57	-0.69	0.24	
Gld	FBtr0081596	Glucose dehydrogenase	179	0	0	0	0	1	1	0	0	dme-miR-999-3p	-0.57	-0.63	< 0.1	
phyl	FBtr0087516	phyllopod	530	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.57	-0.67	0.17	
Nckx30C	FBtr0335506	Nckx30C	5411	1	1	0	0	3	0	1	2	dme-miR-999-3p	-0.57	-3.28	0.82	
CG3078	FBtr0070415	-	92	1	0	0	1	0	0	0	0	dme-miR-999-3p	-0.57	-0.57	0.78	2011
CG2617	FBtr0081391	-	492	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.56	-0.62	< 0.1	
CG13408	FBtr0084179	-	47	0	0	0	0	1	0	1	0	dme-miR-999-3p	-0.56	-0.56	< 0.1	
